Date,High,Low,Open,Close,Volume,Adj Close
12/15/2016,781.4349976,777.802002,780.0700073,778.0880127,81580096,778.0880127
12/16/2016,785.0319824,778.9630127,778.9630127,784.9069824,83608200,784.9069824
12/17/2016,792.5089722,784.8640137,785.1660156,790.8289795,78989800,790.8289795
12/18/2016,794.7369995,788.026001,791.0079956,790.5300293,60524400,790.5300293
12/19/2016,793.6110229,790.3200073,790.6920166,792.7139893,74886400,792.7139893
12/20/2016,801.3369751,791.4970093,792.2470093,800.8759766,99629296,800.8759766
12/21/2016,834.2810059,799.4050293,800.6439819,834.2810059,155576000,834.2810059
12/22/2016,875.7819824,834.1489868,834.1799927,864.539978,200027008,864.539978
12/23/2016,925.1170044,864.677002,864.8880005,921.9840088,275564000,921.9840088
12/24/2016,923.4790039,886.335022,922.1799927,898.8220215,137727008,898.8220215
12/25/2016,899.6519775,862.4240112,899.6519775,896.1829834,143664992,896.1829834
12/26/2016,913.184021,896.8980103,896.9050293,907.6099854,123771000,907.6099854
12/27/2016,940.0479736,904.2550049,908.3540039,933.197998,167308000,933.197998
12/28/2016,975.9210205,934.8309937,934.8309937,975.9210205,236630000,975.9210205
12/29/2016,979.3969727,954.5029907,975.125,973.4970093,199320000,973.4970093
12/30/2016,972.5349731,934.8330078,972.5349731,961.2379761,187474000,961.2379761
12/31/2016,963.742981,947.2360229,960.6270142,963.742981,99135104,963.742981
1/1/2017,1003.080017,958.6989746,963.65802,998.3250122,147775008,998.3250122
1/2/2017,1031.390015,996.7020264,998.6170044,1021.75,222184992,1021.75
1/3/2017,1044.079956,1021.599976,1021.599976,1043.839966,185168000,1043.839966
1/4/2017,1159.420044,1044.400024,1044.400024,1154.72998,344945984,1154.72998
1/5/2017,1191.099976,910.4169922,1156.72998,1013.380005,510199008,1013.380005
1/6/2017,1046.810059,883.9439697,1014.23999,902.2009888,351876000,902.2009888
1/7/2017,908.585022,823.5560303,903.4869995,908.585022,279550016,908.585022
1/8/2017,942.723999,887.2490234,908.1749878,911.1989746,158715008,911.1989746
1/9/2017,913.6859741,879.8070068,913.2440186,902.8280029,141876992,902.8280029
1/10/2017,914.8729858,901.0599976,902.4400024,907.6790161,115808000,907.6790161
1/11/2017,919.447998,762.7650146,908.1149902,777.757019,310928992,777.757019
1/12/2017,826.2459717,755.7559814,775.1779785,804.8339844,222326000,804.8339844
1/13/2017,829.0009766,780.0029907,803.7369995,823.9840088,168968000,823.9840088
1/14/2017,835.085022,812.4559937,825.1420288,818.4119873,93063296,818.4119873
1/15/2017,823.3070068,812.8709717,818.1420288,821.7979736,71013600,821.7979736
1/16/2017,834.5300293,820.2709961,821.78302,831.5339966,82755200,831.5339966
1/17/2017,910.5609741,830.7960205,830.9459839,907.9379883,155095008,907.9379883
1/18/2017,917.4990234,858.3040161,909.3729858,886.617981,225676992,886.617981
1/19/2017,904.6140137,884.3380127,888.335022,899.072998,105625000,899.072998
1/20/2017,899.3980103,887.0079956,898.1719971,895.026001,86728400,895.026001
1/21/2017,927.3670044,895.5349731,895.5490112,921.7890015,111158000,921.7890015
1/22/2017,937.5250244,897.5640259,922.2050171,924.6729736,116573000,924.6729736
1/23/2017,928.2659912,916.7379761,925.4990234,921.0120239,73588600,921.0120239
1/24/2017,924.1450195,892.2860107,910.677002,892.6870117,111349000,892.6870117
1/25/2017,903.2520142,891.6870117,891.9240112,901.5419922,120831000,901.5419922
1/26/2017,919.3259888,902.223999,902.3950195,917.5859985,131958000,917.5859985
1/27/2017,923.2230225,915.8460083,918.3590088,919.75,125594000,919.75
1/28/2017,923.9110107,919.8109741,919.8109741,921.5900269,68979600,921.5900269
1/29/2017,923.4180298,919.1480103,922.0670166,919.4959717,60851700,919.4959717
1/30/2017,923.0479736,919.473999,920.151001,920.382019,78227296,920.382019
1/31/2017,972.0189819,920.9589844,920.9589844,970.4030151,164582000,970.4030151
2/1/2017,989.1140137,970.7420044,970.940979,989.0230103,150110000,989.0230103
2/2/2017,1013.52002,983.2210083,990.0009766,1011.799988,145820992,1011.799988
2/3/2017,1033.869995,1008.789978,1011.460022,1029.910034,201278000,1029.910034
2/4/2017,1045.900024,1015.159973,1031.329956,1042.900024,155064000,1042.900024
2/5/2017,1043.630005,1022.369995,1043.52002,1027.339966,114208000,1027.339966
2/6/2017,1044.640015,1028.160034,1028.400024,1038.150024,111762000,1038.150024
2/7/2017,1061.930054,1040.140015,1040.140015,1061.349976,146007008,1061.349976
2/8/2017,1078.969971,1037.48999,1062.319946,1063.069946,201855008,1063.069946
2/9/2017,1088.98999,953.3439941,1064.699951,994.3829956,407220000,994.3829956
2/10/2017,998.9050293,946.690979,995.632019,988.6740112,190452000,988.6740112
2/11/2017,1009.289978,982.8300171,988.8980103,1004.450012,102261000,1004.450012
2/12/2017,1004.76001,996.9210205,1003.52002,999.1810303,67530000,999.1810303
2/13/2017,1002.099976,976.0020142,998.8850098,990.6420288,100607000,990.6420288
2/14/2017,1011.51001,986.4710083,991.7349854,1004.549988,137946000,1004.549988
2/15/2017,1008.840027,1001.580017,1006.210022,1007.47998,89759400,1007.47998
2/16/2017,1033.369995,1007.650024,1007.650024,1027.439941,122277000,1027.439941
2/17/2017,1053.170044,1025.640015,1026.119995,1046.209961,136474000,1046.209961
2/18/2017,1061.099976,1046.959961,1049.209961,1054.420044,99073504,1054.420044
2/19/2017,1056.810059,1043.459961,1054.76001,1047.869995,77423296,1047.869995
2/20/2017,1080.48999,1041.689941,1048.689941,1079.97998,109478000,1079.97998
2/21/2017,1117.25,1076.930054,1079.280029,1115.300049,186868992,1115.300049
2/22/2017,1125.390015,1100.550049,1114.800049,1117.439941,136100000,1117.439941
